Бэтмен: Начало,Batman Begins,2005,7,21.05.11 11:11
Фотоувеличение,Blowup,1966,8,21.05.11 11:11
Похитители велосипедов,Ladri di biciclette,1948,10,21.05.11 11:11
Война и мир: Андрей Болконский,,1965,7,21.05.11 11:12
Последнее танго в Париже,Ultimo tango a Parigi,1972,8,21.05.11 11:18
Манхэттен,Manhattan,1979,7,21.05.11 11:23
Изгои,The Outsiders,1983,7,21.05.11 11:25
Ватерлоо,Waterloo,1970,8,21.05.11 11:26
Идиот,,1958,8,21.05.11 11:26
Игла,,1988,6,21.05.11 11:26
Человек  который спит,Un homme qui dort,1974,10,21.05.11 13:21
Братья Карамазовы,,1968,10,21.05.11 13:22
Дурное воспитание,La mala educacion,2004,8,21.05.11 17:27
Кика,Kika,1993,8,21.05.11 17:29
Пробуждение,Awakenings,1990,8,11.06.11 22:56
Помни,Memento,2000,8,18.06.11 11:05
Старикам тут не место,No Country for Old Men,2007,8,18.06.11 11:05
Это безумный  безумный  безумный  безумный мир,It's a Mad  Mad  Mad  Mad World,1963,9,25.06.11 10:19
Меланхолия,Melancholia,2011,8,08.07.11 13:26
Дерево  мэр и медиатека,L'arbre  le maire et la mediatheque,1993,8,10.07.11 10:04
Хиппи,Hippies,1999,8,13.07.11 0:04
Зеленое крыло,Green Wing,2004 – 2006,9,13.07.11 0:16
Вечный жид,Der ewige Jude,1940,7,19.07.11 18:36
Фильм  фильм  фильм,,1968,8,22.07.11 18:50
Совершенный человек,Det perfekte menneske,1967,6,22.07.11 18:50
Семь,Se7en,1995,8,25.07.11 21:29
Generation П,,2011,7,25.07.11 21:30
Пирамммида,,2011,4,25.07.11 21:30
Здесь курят,Thank You for Smoking,2005,7,25.07.11 21:31
Сон смешного человека,,1992,10,01.08.11 12:06
Рождённые в СССР: 21 год,Born in the USSR: 21 Up,2005,10,07.08.11 20:19
Рождённые в СССР. Четырнадцатилетние,14 Up Born in the USSR,1998,10,07.08.11 20:21
Рождённые в СССР. Семилетние,Age 7 in the USSR,1991,10,07.08.11 20:21
99 франков,99 francs,2007,8,08.08.11 15:20
Цельнометаллическая оболочка,Full Metal Jacket,1987,7,08.08.11 23:08
Большая возня,Big Train,1998 – 2002,8,08.08.11 23:11
Двадцатый век,Novecento,1976,8,08.08.11 23:12
Трасса 60,Interstate 60,2001,10,13.08.11 11:04
Догма,Dogma,1999,5,13.08.11 11:05
Таксист,Taxi Driver,1976,8,25.09.11 22:27
На игле,Trainspotting,1995,7,25.09.11 22:50
Вход в пустоту,Enter the Void,2009,8,30.09.11 20:40
Дневник баскетболиста,The Basketball Diaries,1995,8,02.10.11 9:24
